Solar energy sector has outperformed the broader clean energy sector over the past year, suggesting a focus on solar investments.
ETFMG Alternative Harvest ETF (MJ) has outperformed the AdvisorShares Pure Cannabis ETF (YOLO) over the past year, indicating a potential preference for diversified exposure to the cannabis industry.
iShares ESG Aware MSCI USA ETF (ESGU) has outperformed the iShares MSCI USA ESG Select ETF (SUSA) over the past year, suggesting a potential preference for ESG-aware investments.
SPDR S&P Pharmaceuticals ETF (XPH) has outperformed the iShares U.S. Pharmaceuticals ETF (IHE) over the past year, suggesting a potential preference for pharmaceutical industry investments.
Vanguard Consumer Discretionary ETF (VCR) has outperformed the Vanguard Consumer Staples ETF (VDC) over the past year, suggesting a potential preference for consumer discretionary stocks over consumer staples stocks.
VanEck Vectors Gold Miners ETF (GDX) has outperformed the VanEck Vectors Junior Gold Miners ETF (GDXJ) over the past year, indicating a potential preference for larger gold mining companies over smaller, more speculative ones.
iShares Transportation Average ETF (IYT) has outperformed the SPDR S&P Transportation ETF (XTN) over the past year, indicating a potential preference for the more established transportation index.
iShares Core MSCI EAFE ETF (IEFA) has outperformed the Vanguard FTSE Developed Markets ETF (VEA) over the past year, indicating a potential preference for the MSCI EAFE index over the FTSE Developed Markets index.
Communication Services Select Sector SPDR Fund (XLC) has outperformed the iShares U.S. Telecommunications ETF (IYZ) over the past year, suggesting a potential preference for a broader communication services sector exposure.
VanEck Vectors Video Gaming and eSports ETF (ESPO) has outperformed the Roundhill BITKRAFT Esports & Digital Entertainment ETF (NERD) over the past year, indicating a potential preference for video gaming and eSports stocks with a more concentrated portfolio.
Renaissance IPO ETF (IPO) has outperformed the First Trust US Equity Opportunities ETF (FPX) over the past year, suggesting a potential preference for newly public companies.
iShares Global REIT ETF (REET) has outperformed the Vanguard Global ex-U.S. Real Estate ETF (VNQI) over the past year, indicating a potential preference for global real estate exposure that includes the U.S. market.
iShares MSCI Germany ETF (EWG) has outperformed the iShares MSCI United Kingdom ETF (EWU) over the past year, suggesting a potential preference for German equities over UK equities among G7 countries.
iShares MSCI Japan ETF (EWJ) has outperformed the iShares MSCI Canada ETF (EWC) over the past year, indicating a potential preference for Japanese equities over Canadian equities among G7 countries.
Invesco DB Commodity Index Tracking Fund (DBC) has outperformed the iShares S&P GSCI Commodity-Indexed Trust (GSG) over the past year, indicating a potential preference for a broader range of commodities exposure.
Inflation has remained relatively stable over the past year, which may provide a favorable economic environment for consumers and investors.
The unemployment rate is below 6%, indicating a healthier labor market and potential opportunities for consumer spending and economic growth.
GDP has grown, but at a slow pace, indicating a potentially sluggish economy.
Interest rates are high, which may reduce borrowing and investment but lead to higher returns on fixed-income assets.
Housing starts have increased over the past year, which may indicate a strengthening housing market.
The S&P 500 has increased over the past year, which may indicate a strengthening stock market.
Retail sales have increased over the past year, which may indicate a stronger consumer spending environment.
The trade balance is negative, indicating that the United States imports more than it exports, which may have implications for the economy and exchange rates.
Inflation expectations are high, which may have implications for monetary policy and financial markets.
The federal government has run a surplus, which may have implications for fiscal policy and the economy.
